customer,risk_score
C1085553281,0.65
C1657041838,0.5299999999999999
C1495761010,0.5299999999999999
C1849014975,0.5299999999999999
C1269097316,0.5299999999999999
C709091500,0.5299999999999999
C681078805,0.5299999999999999
C1040847151,0.5299999999999999
C1674899618,0.5299999999999999
C1009406898,0.5299999999999999
C1408337297,0.41000000000000003
C697713040,0.41000000000000003
C149696600,0.41000000000000003
C1614190061,0.41000000000000003
C1013700132,0.41000000000000003
C875290750,0.41000000000000003
C1389813491,0.41000000000000003
C69797167,0.41000000000000003
C107300817,0.41000000000000003
C1419794148,0.41000000000000003
C312713305,0.41000000000000003
C351394592,0.41000000000000003
C776404949,0.41000000000000003
C1302759772,0.41000000000000003
C1209613575,0.41000000000000003
C547532271,0.41000000000000003
C1263783610,0.41000000000000003
C81829688,0.41000000000000003
C1128685085,0.41000000000000003
C1725523273,0.41000000000000003
C1619490345,0.41000000000000003
C48382962,0.41000000000000003
C1163519620,0.41000000000000003
C998351292,0.41000000000000003
C1334679764,0.41000000000000003
C1286084959,0.41000000000000003
C588441760,0.41000000000000003
C1899073220,0.41000000000000003
C1109113606,0.41000000000000003
C2091631147,0.41000000000000003
C1407472437,0.41000000000000003
C5554526,0.41000000000000003
C70895366,0.41000000000000003
C1050374066,0.41000000000000003
C1166654566,0.41000000000000003
C225852166,0.41000000000000003
C645819421,0.41000000000000003
C175260557,0.41000000000000003
C750457461,0.41000000000000003
C1661355634,0.41000000000000003
C20671747,0.41000000000000003
C2037429693,0.41000000000000003
C260838211,0.41000000000000003
C374195815,0.41000000000000003
C647012170,0.41000000000000003
C1201831265,0.41000000000000003
C1464818223,0.41000000000000003
C1583589452,0.41000000000000003
C205777727,0.41000000000000003
C214903747,0.41000000000000003
C1221279243,0.41000000000000003
C46723248,0.41000000000000003
C1459229207,0.41000000000000003
C1226663483,0.41000000000000003
C1014607150,0.41000000000000003
C219771880,0.41000000000000003
C1822045793,0.41000000000000003
C1842284848,0.41000000000000003
C1583761139,0.41000000000000003
C1568538856,0.41000000000000003
C1492359254,0.41000000000000003
C702393884,0.41000000000000003
